time,density,stop_time,speed,delay_time,travel_time,mean_queue,seed,
12600,6.03181067319,34.2640854006,39.657349097,43.9009,101.5087,66.8676,7521,
12600,6.12624658917,34.4729988648,39.3000023706,44.3349,101.6339,68.1929,2502,
11700,6.16342055035,34.0602949218,39.2833593809,43.8795,101.4961,65.4507,7544,
9900,6.02586400288,34.2405052845,39.1206998716,44.2662,101.8275,64.2667,8503,
9900,5.80730193405,32.5807150581,40.0470634839,42.4097,99.6383,62.2302,6834,
13500,5.76368556583,32.1079817121,40.1054716938,41.4787,99.0204,59.9422,7521,
13500,6.1047869078,32.1108176948,40.0025031244,41.6602,99.0646,63.3529,2502,
12600,6.09800084796,33.9389561314,39.7008107564,43.4823,100.8258,65.9227,7544,
10800,6.13212356056,33.2605604427,39.2172229878,43.3956,101.1119,66.2382,8503,
10800,5.90077736424,33.24075577,39.9865444086,42.9435,100.2998,62.2116,6834,
14400,6.15271164318,34.5537554372,39.6124381314,44.5551,101.7485,67.8916,7521,
14400,5.89367243651,31.4968628175,40.5982542716,41.2106,98.376,63.4667,2502,
13500,6.10767510093,32.4759043123,40.1790475641,41.7182,98.8952,63.648,7544,
11700,5.87334191755,32.5284315937,39.7351355958,42.2444,99.5875,62.08,8503,
11700,6.45389880679,35.3131133936,38.6421159819,45.8216,103.4352,72.5982,6834,
15300,0.538767503515,38.6740779369,37.3604599242,48.614,106.1114,4.4276,2502,
12600,5.90567810352,31.8168871736,40.2522139331,41.5968,98.8704,62.1884,8503,
14400,5.92921846936,33.4978618889,39.548159958,43.3217,100.8414,63.9591,7544,
12600,6.33980417209,36.084164851,39.4942107232,45.777,103.3795,70.7022,6834,
13500,6.37336304524,36.9256325508,38.2766715128,47.4143,105.0059,71.5013,8503,
13500,6.61473472198,35.7110486956,38.8203553326,46.1327,103.445,73.5618,6834,
14400,6.37102664164,38.3062321082,38.5359525312,48.3855,105.5605,75.9644,8503,
14400,6.08099495008,37.1685522792,38.826913194,47.519,104.717,69.7484,6834,
15300,0.589548071952,51.6535597986,34.7038138417,60.4859,117.5578,7.7511,6834,
16200,0,-1,-1,-1,-1,0,6834,
900,5.23987490216,27.2998576107,41.9335769377,37.1817,94.5371,51.5733,7590,
900,4.92066046444,24.4263353864,42.5101826875,34.1562,91.4871,46.2898,6953,
1800,5.47985796717,27.7302143324,41.026906129,38.2472,95.5921,53.64,7590,
1800,6.54084353817,35.6908695033,38.8119349752,47.5201,104.6941,74.5271,6953,
2700,5.41680647967,26.0361660672,41.908544136,35.92,93.63,51.6667,7590,
900,5.30304050324,28.5226124612,41.2339684303,38.4269,95.568,53.1298,3144,
3600,5.09588236724,25.0120415819,42.3776950712,34.7662,91.957,45.9449,7590,
2700,5.5212571001,29.2690120533,40.6140170585,39.5718,97.2959,55.5262,6953,
1800,5.94395868336,30.3874079606,40.4331821348,41.077,98.4417,63.176,3144,
900,5.35932829465,28.5866283593,40.9856365302,38.8449,96.2181,53.2409,3885,
4500,5.33336923483,25.9742499127,42.4147129412,35.5787,92.9738,49.8782,7590,
3600,5.74866437293,27.37077424,41.2446347694,37.9531,95.2024,56.8222,6953,
900,4.57594922487,25.6295460809,42.8057855319,34.9989,92.119,42.7236,2478,
