time,density,speed,stop_time,delay_time,travel_time,mean_queue,seed
9900,11.8333880966,52.2622038113,33.8474397109,66.6122,123.5648,186.2276,1348
13500,6.06175818342,32.842070378,39.9819012215,42.5821,99.7831,65.24,5702
11700,7.49401891715,56.6981912944,37.1764871189,68.0538,125.3018,104.4382,8531
14400,10.8688565016,74.4561216877,33.9542715009,92.2451,147.4306,246.3884,4506
12600,6.00828448174,36.6027100733,38.9396060084,46.6859,103.8775,66.3218,5235
900,5.08709495399,31.644656306,39.2659261366,42.6614,100.4045,55.0444,3670
14400,5.88338515817,32.6884569432,39.9563691818,42.457,99.5509,64.8142,5702
10800,12.6329253081,71.5219408824,32.25827843,87.0768,144.32,213.0489,1348
12600,5.84963312469,35.2388720664,40.0970902586,44.8179,102.1407,63.8978,8531
13500,6.26964001133,36.0496265872,38.496719868,46.3525,103.9259,74.1431,5235
1800,5.5013832579,32.1955865907,39.2764181491,42.6463,99.8771,57.6951,3670
900,5.5804090108,32.4750377388,39.2504466476,43.1717,100.4807,60.2302,5117
13500,5.73961218667,32.1621690434,39.9363126842,42.2099,99.6123,60.7849,8531
14400,5.99147451081,36.1160207871,39.5814933294,46.0339,103.104,67.7262,5235
