time,density,stop_time,speed,delay_time,travel_time,mean_queue,seed,,,,,
18000,5.58691838169,28.9611077153,40.9325197129,39.5247,97.3684,56.7982,1838,,,,,
18900,5.40603100314,27.9251764769,41.0716160972,38.0426,95.848,52.7413,1838,,,,,
900,1.47698826454,17.9449945164,45.8220915392,26.1969,84.2425,10.5547,1046,,,,,
1800,1.45898169613,19.3409153934,45.5436522826,27.0385,84.6349,11.2444,1046,,,,,
2700,1.81954981413,18.7730921775,45.633680723,26.3756,84.3207,13.7182,1046,,,,,
3600,1.91280261867,21.4303727128,45.7901771097,28.5819,86.334,16.0498,1046,,,,,
4500,2.47760519253,20.3489052985,45.3892744888,27.8227,85.5226,19.64,1046,,,,,
5400,2.94160357903,23.3426849342,44.3973727574,31.4905,89.0524,25.7218,1046,,,,,
6300,4.00322565743,30.0311636147,42.0295606165,38.6528,95.6725,42.2862,1046,,,,,
7200,3.74217521177,29.0069501722,42.5734362578,37.0027,94.0975,38.3618,1046,,,,,
8100,7.57285503732,43.3210700074,36.3700876033,54.9941,113.2909,98.5893,1046,,,,,
9000,8.09742302165,45.9787072642,35.2772249545,59.1576,117.6932,109.8773,1046,,,,,
9900,10.3690021143,51.4947895673,34.023527781,65.7155,123.5358,148.696,1046,,,,,
10800,11.5662511115,62.5061532885,31.8755665069,78.6372,137.0702,180.1404,1046,,,,,
11700,11.1921806585,75.3325366426,31.6883545187,90.8348,149.343,186.8809,1046,,,,,
12600,11.4530689729,71.994620244,31.6002667022,88.2388,146.6563,192.1884,1046,,,,,
13500,10.2607450532,67.5105659905,32.823607983,82.5193,141.1471,159.0276,1046,,,,,
14400,9.60584558773,57.3211727075,34.5759351244,70.7125,129.2501,141.176,1046,,,,,
15300,7.80301830182,47.4982375408,35.7534936603,61.5075,119.2173,101.1991,1046,,,,,
16200,7.22882658345,37.2898243796,37.7833048098,49.9015,107.796,86.3902,1046,,,,,
17100,5.96858992288,30.6296333401,39.56922531,41.8625,99.7267,60.9031,1046,,,,,
18000,5.65295396988,26.4392225889,41.5634580468,36.9279,94.4937,54.0133,1046,,,,,
18900,4.97474506111,26.8007253009,42.0577765211,36.3836,94.0163,46.6507,1046,,,,,
19800,4.77285308906,26.1965506267,42.387132618,35.6149,93.1729,44.8631,1046,,,,,
20700,5.23055745491,27.2688334885,41.6494090354,37.4564,95.2357,49.9538,1046,,,,,
21600,4.98112042217,27.1318279071,41.5509729895,37.0355,94.9245,47.0498,1046,,,,,
19800,4.77285308906,26.1965506267,42.387132618,35.6149,93.1729,44.8631,1838,,,,,
20700,5.23055745491,27.2688334885,41.6494090354,37.4564,95.2357,49.9538,1838,,,,,
21600,4.98112042217,27.1318279071,41.5509729895,37.0355,94.9245,47.0498,1838,,,,,
900,1.2738601298,15.7888987517,47.7281783241,22.8717,81.1281,8.5022,1276,,,,,
1800,1.61682135572,17.756723756,46.5916954588,25.2141,83.0146,11.576,1276,,,,,
900,1.36806754541,18.1004741772,46.8315554501,25.1608,82.5961,9.8542,2117,,,,,
2700,1.93810522449,19.058475663,45.8998276856,27.068,84.579,15.232,1276,,,,,
1800,1.67505227681,18.0742750309,46.5126224077,25.5508,82.6869,12.888,2117,,,,,
900,1.34590886472,16.0032432699,47.3548933161,22.9833,80.4437,9.536,2412,,,,,
3600,1.96601228691,21.7728571632,45.2479120613,29.0715,86.7671,15.6427,1276,,,,,
2700,1.9002732212,18.1219686002,46.1573363444,25.6144,83.7363,14.6684,2117,,,,,
1800,1.51471117641,18.332492391,46.7953061571,25.6955,83.5589,11.6871,2412,,,,,
3600,1.99714323662,22.8006125931,44.4975128503,30.3127,88.6514,16.7369,2117,,,,,
4500,2.606501323,22.214706287,44.8074452499,29.7563,87.0268,22.3529,1276,,,,,
900,1.51779741621,18.579986941,46.9784659293,25.3078,83.1169,11.4347,2124,,,,,
2700,1.8648444268,18.2487018768,47.4332778168,25.193,82.7625,13.0836,2412,,,,,
4500,2.79023325763,23.6934448569,44.4051082411,31.5105,89.3098,24.0631,2117,,,,,
1800,1.79254891701,19.6979317646,45.7700791038,27.4728,84.7186,14.2178,2124,,,,,
5400,2.84851379693,22.9335054706,44.4118624712,30.8422,88.1494,24.52,1276,,,,,
3600,2.05887762477,22.1785270849,45.7867374762,29.5093,87.3122,16.9947,2412,,,,,
900,1.29888402753,15.1991087385,48.4777778825,22.1454,79.4376,8.4462,1453,,,,,
